Комментарий String; ФИО String; Рейтинг Float; Рейтинг Float; Рейтинг Float; Кол-во_проектов Integer; Дата_рождения Date; Рейтинг Float; ФИО String; Комментарий String; 
Разнообразный и богатый опыт п; Петрова Дарина Семёновна; 7,73; 5,85; 9,28; 87; 01.11.2019; 0,54; Казаков Матвей Рустамович; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 8,91; 7,95; 9,69; 76; 19.09.2019; 9,69; Воронцова Елизавета Андреевна; Разнообразный и богатый опыт н; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 0,06; 6,9; 6,6; 90; 23.09.1987; 8,85; Кожевников Марк Романович; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 8,33; 7,73; 0,4; 52; 09.07.2009; 4,51; Зайцева Арина Давидовна; Дорогие друзья, постоянный кол; 
Задача организации, в особенно; Петрова Дарина Семёновна; 4,04; 0,54; 4,72; 42; 12.12.2004; 2,09; Морозов Олег Максимович; Дорогие друзья, постоянный кол; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 8,4; 8,19; 7,98; 27; 11.05.1990; 5,82; Сергеева Юлия Андреевна; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 9,69; 0,54; 7,95; 35; 22.07.2000; 1,13; Мещерякова Агния Кирилловна; Разнообразный и богатый опыт н; 
Повседневная практика показыва; Петрова Дарина Семёновна; 2,84; 5,24; 6,5; 39; 22.07.2000; 1,18; Алексеева Виктория Максимовна; Дорогие друзья, постоянный кол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,09; 1,0; 0,06; 95; 22.07.2000; 6,28; Гришин Тихон Максимович; Дорогие друзья, постоянный кол; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 5,55; 2,09; 2,09; 69; 10.01.2006; 4,5; Агафонов Илья Павлович; Задача организации, в особенно; 
Повседневная практика показыва; Петрова Дарина Семёновна; 0,03; 8,88; 9,16; 9; 04.12.2022; 4,72; Симонов Максим Ильич; С другой стороны новая модель ; 
Повседневная практика показыва; Петрова Дарина Семёновна; 0,54; 9,69; 5,51; 22; 01.11.2019; 6,27; Ермолаев Михаил Артёмович; Повседневная практика показыва; 
Задача организации, в особенно; Петрова Дарина Семёновна; 4,29; 4,72; 6,49; 65; 11.08.2013; 9,0; Морозов Олег Максимович; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 0,03; 6,61; 4,73; 24; 19.09.1974; 0,46; Романова Наталья Дмитриевна; Повседневная практика показыва; 
Повседневная практика показыва; Петрова Дарина Семёновна; 0,06; 6,12; 4,22; 99; 24.03.1982; 5,14; Андреев Константин Денисович; С другой стороны новая модель ; 
Повседневная практика показыва; Петрова Дарина Семёновна; 5,51; 5,23; 5,99; 24; 04.07.1999; 4,98; Морозов Игорь Саввич; Разнообразный и богатый опыт р; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,28; 8,56; 6,6; 27; 20.11.2016; 5,66; Калашников Кирилл Кириллович; Практический опыт показывает, ; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 9,28; 6,49; 4,22; 49; 05.09.1999; 3,14; Коровина Валерия Кирилловна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 6,22; 1,17; 1,51; 26; 29.10.1987; 5,55; Львов Владимир Константинович; Соображения высшего порядка, а; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 5,01; 8,85; 0,06; 9; 11.05.1990; 1,17; Андреев Константин Денисович; Повседневная практика показыва; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,25; 2,04; 9,9; 49; 04.07.1999; 5,85; Романова Наталья Дмитриевна; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 9,9; 2,84; 5,5; 49; 04.07.1999; 1,17; Михайлова Мира Артёмовна; Повседневная практика показыва; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 5,66; 4,5; 5,24; 24; 13.08.2011; 5,85; Коровина Валерия Кирилловна; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 5,82; 5,66; 5,01; 65; 12.12.2004; 6,5; Гусев Роман Александрович; Задача организации, в особенно; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 2,09; 8,56; 4,22; 75; 24.03.1982; 3,85; Петрова Дарина Семёновна; Значимость этих проблем настол; 
Повседневная практика показыва; Петрова Дарина Семёновна; 8,4; 7,95; 1,13; 12; 21.01.2018; 9,0; Львов Владимир Константинович; Дорогие друзья, постоянный кол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 6,22; 5,25; 5,96; 86; 31.10.1997; 6,6; Калинина Ника Львовна; Практический опыт показывает, ; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 6,22; 2,84; 6,22; 94; 03.12.1982; 3,14; Калинина Ника Львовна; Значимость этих проблем настол; 
Равным образом сложившаяся стр; Петрова Дарина Семёновна; 5,9; 1,0; 8,85; 69; 30.09.2002; 2,21; Попов Максим Леонович; Соображения высшего порядка, а; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 9,9; 6,22; 7,11; 10; 29.12.1992; 7,15; Костина Зоя Ивановна; Равным образом дальнейшее разв; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 9,28; 8,84; 1,13; 55; 29.09.1970; 3,14; Дегтярева Анастасия Никитична; Дорогие друзья, консультация с; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 9,16; 3,14; 5,99; 83; 09.10.1984; 1,18; Фетисова Дарья Артёмовна; С другой стороны новая модель ; 
Задача организации, в особенно; Петрова Дарина Семёновна; 3,89; 3,9; 4,5; 26; 19.09.2019; 1,02; Романова Наталья Дмитриевна; Не следует, однако, забывать о; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,14; 1,51; 4,61; 76; 22.05.2022; 5,85; Симонов Максим Ильич; Задача организации, в особенно; 
Дорогие друзья, консультация с; Петрова Дарина Семёновна; 8,56; 6,22; 8,4; 42; 19.09.1974; 0,03; Калинина Ника Львовна; Дорогие друзья, консультация с; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 6,12; 8,56; 1,02; 86; 05.09.1999; 7,73; Широкова Аиша Дмитриевна; Таким образом, постоянное инфо; 
Разнообразный и богатый опыт р; Петрова Дарина Семёновна; 6,49; 4,22; 5,96; 2; 27.05.1999; 8,33; Мещерякова Агния Кирилловна; Значимость этих проблем настол; 
Значимость этих проблем настол; Петрова Дарина Семёновна; 1,51; 9,9; 4,73; 86; 04.07.1999; 0,93; Орлова Надежда Данииловна; Значимость этих проблем настол; 
Соображения высшего порядка, а; Петрова Дарина Семёновна; 0,46; 2,09; 8,4; 75; 19.09.2019; 1,13; Злобин Вадим Михайлович; Дорогие друзья, консультация с; 
Повседневная практика показыва; Петрова Дарина Семёновна; 4,51; 8,56; 8,33; 99; 09.10.1984; 5,99; Андреев Константин Денисович; Повседневная практика показыва; 
Не следует, однако, забывать о; Петрова Дарина Семёновна; 5,99; 6,28; 4,04; 75; 20.11.1971; 8,84; Воронцова Елизавета Андреевна; Не следует, однако, забывать о; 
С другой стороны новая модель ; Петрова Дарина Семёновна; 3,9; 7,73; 0,46; 99; 04.07.1999; 6,49; Калашников Кирилл Кириллович; Дорогие друзья, консультация с; 
Таким образом, сложившаяся стр; Петрова Дарина Семёновна; 8,56; 8,84; 9,28; 25; 27.05.1999; 4,5; Ермолаев Михаил Артёмович; Таким образом, сложившаяся стр; 
Дорогие друзья, постоянный кол; Петрова Дарина Семёновна; 5,01; 8,88; 5,55; 3; 15.02.2002; 7,73; Иванова Ева Семёновна; Практический опыт показывает, ; 
Равным образом дальнейшее разв; Петрова Дарина Семёновна; 6,12; 1,51; 4,04; 87; 13.08.2011; 3,35; Зайцев Александр Романович; Соображения высшего порядка, а; 
